time,input_steer,input_gas,input_brake,speed_kmh,rpm,gear,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,yaw,pitch,roll,is_sliding,wheels_contact_count
2350,0,0,0,112.0,6815.89,2,880.00,25.10,555.88,-0.001,-2.295,31.027,-0.000,0.066,0.000,0,4
2360,0,0,0,111.71,6844.48,2,880.00,25.08,556.19,-0.001,-2.395,30.937,-0.000,0.069,0.000,0,4
2370,0,0,0,111.42,6826.35,2,880.00,25.05,556.50,-0.001,-2.488,30.849,-0.000,0.072,0.000,0,4
2380,0,0,0,111.13,6808.49,2,880.00,25.03,556.81,-0.001,-2.573,30.761,-0.000,0.076,0.000,0,4
2390,0,0,0,110.84,6790.9,2,880.00,25.00,557.11,-0.001,-2.650,30.676,-0.000,0.079,0.000,0,4
2400,0,0,0,110.56,6773.58,2,880.00,24.98,557.42,-0.001,-2.721,30.591,-0.000,0.083,0.000,0,4
2410,0,0,0,110.29,6756.52,2,880.00,24.95,557.72,-0.001,-2.805,30.507,-0.000,0.087,0.000,0,4
2420,0,0,0,110.02,6739.74,2,880.00,24.93,558.02,-0.001,-2.885,30.424,-0.000,0.090,0.000,0,4
2430,0,0,0,109.75,6723.24,2,880.00,24.90,558.33,-0.001,-2.959,30.343,-0.000,0.094,0.000,0,4
2440,0,0,0,109.49,6707.0,2,880.00,24.87,558.63,-0.001,-3.017,30.264,-0.000,0.097,0.000,0,4
2450,0,0,0,109.23,6691.01,2,880.00,24.84,558.93,-0.001,-3.064,30.187,-0.000,0.100,0.000,0,4
2460,0,0,0,108.98,6675.25,2,880.00,24.81,559.23,-0.001,-3.099,30.112,-0.000,0.103,0.000,0,4
2470,0,0,0,108.73,6659.7,2,880.00,24.78,559.53,-0.001,-3.123,30.040,-0.000,0.105,0.000,0,4
2480,0,0,0,108.45,6644.35,2,880.00,24.75,559.83,-0.001,-2.878,29.989,-0.000,0.107,0.000,0,4
2490,0,0,0,108.2,6627.36,2,880.00,24.72,560.13,-0.001,-2.753,29.928,-0.000,0.107,0.000,0,4
2500,0,0,0,107.94,6611.21,2,880.00,24.70,560.43,-0.001,-2.691,29.863,-0.000,0.106,0.000,0,4
2510,0,0,0,107.69,6595.64,2,880.00,24.67,560.73,-0.001,-2.674,29.795,-0.000,0.105,0.000,0,4
2520,0,0,0,107.44,6580.41,2,880.00,24.65,561.03,-0.001,-2.676,29.725,-0.000,0.103,0.000,0,4
2530,0,0,0,107.19,6565.34,2,880.00,24.62,561.32,-0.001,-2.689,29.654,-0.000,0.100,0.000,0,4
2540,0,0,0,106.94,6550.28,2,880.00,24.59,561.62,-0.001,-2.697,29.583,-0.000,0.098,0.000,0,4
2550,0,0,0,106.69,6535.12,2,880.00,24.57,561.92,-0.001,-2.701,29.512,-0.000,0.095,0.001,0,4
2560,0,0,0,106.43,6527.48,2,880.00,24.54,562.22,-0.001,-2.680,29.442,-0.000,0.091,0.001,0,4
2570,0,0,0,106.17,6519.8,2,880.00,24.51,562.51,-0.001,-2.638,29.373,-0.000,0.088,0.001,0,4
2580,0,0,0,105.9,6503.92,2,880.00,24.49,562.81,-0.001,-2.597,29.303,-0.000,0.084,0.001,0,4
2590,0,0,0,105.64,6487.96,2,880.00,24.46,563.10,-0.001,-2.564,29.232,-0.000,0.080,0.001,0,4
2600,0,0,0,105.37,6471.83,2,880.00,24.44,563.40,-0.001,-2.531,29.160,-0.000,0.076,0.001,0,4
2610,0,0,0,105.1,6455.48,2,880.00,24.41,563.69,-0.002,-2.434,29.092,-0.000,0.072,0.001,0,4
2620,0,0,0,104.82,6438.89,2,880.00,24.39,563.98,-0.002,-2.305,29.025,-0.000,0.068,0.001,0,4
2630,0,0,0,104.54,6422.08,2,880.00,24.37,564.27,-0.002,-2.216,28.954,-0.000,0.065,0.000,0,4
2640,0,0,0,104.26,6405.19,2,880.00,24.35,564.56,-0.001,-2.145,28.882,-0.000,0.062,0.000,0,4
2650,0,0,0,103.98,6388.18,2,880.00,24.33,564.85,-0.001,-2.088,28.808,-0.000,0.059,-0.000,0,4
2660,0,0,0,103.7,6371.03,2,880.00,24.31,565.14,-0.001,-2.042,28.732,-0.000,0.057,-0.000,0,4
2670,0,0,0,103.41,6353.74,2,880.00,24.29,565.43,-0.001,-1.962,28.657,-0.000,0.055,-0.000,0,4
2680,0,0,0,103.12,6336.31,2,880.00,24.28,565.72,-0.001,-1.905,28.581,-0.000,0.053,-0.001,0,4
2690,0,0,0,102.83,6318.76,2,880.00,24.26,566.01,-0.001,-1.871,28.503,-0.000,0.051,-0.001,0,4
2700,0,0,0,102.54,6301.14,2,880.00,24.25,566.29,-0.001,-1.851,28.424,-0.000,0.050,-0.001,0,4
